510: 'ﻟ' at x=411.14, top=347.23
511: 'ﻗ' at x=413.42, top=356.97
512: 'ا' at x=414.87, top=347.23
513: '١' at x=474.36, top=355.42
514: '١' at x=478.00, top=344.92
515: '٠' at x=478.01, top=355.42
516: '٥' at x=481.66, top=344.92
517: '٠' at x=481.67, top=355.42
518: '٬' at x=485.31, top=344.92
519: '٬' at x=485.32, top=355.42
520: '٤' at x=487.53, top=344.92
521: '٦' at x=487.54, top=355.42
522: '٢' at x=491.18, top=344.92
523: '٠' at x=491.19, top=355.42
524: '٣' at x=494.84, top=344.92
525: '٤' at x=494.85, top=355.42
526: '٬' at x=498.49, top=344.92
527: '٬' at x=498.50, top=355.42
528: '٩' at x=500.72, top=344.92
529: '٣١' at x=500.72, top=355.42
530: '٥' at x=504.37, top=344.92
531: '٩' at x=508.02, top=355.42
532: '٤' at x=508.03, top=344.92
533: '٩' at x=548.04, top=355.77
534: '١' at x=551.95, top=355.77
535: '٣٬' at x=551.95, top=345.28
536: '٬' at x=555.85, top=355.77
537: '٦' at x=558.06, top=345.28
538: '٣٨' at x=558.07, top=355.77
539: '٢' at x=561.97, top=345.28
540: '٣' at x=565.87, top=355.77
541: '٣٬' at x=565.87, top=345.28
542: '٬' at x=569.78, top=355.77
543: '٦' at x=571.99, top=345.28
544: '٨' at x=572.00, top=355.77
545: '٢' at x=575.90, top=345.28
546: '٦٦' at x=575.90, top=355.77
547: '٥' at x=579.80, top=345.28
548: '۳۳٥و' at x=601.79, top=348.95
549: '٤' at x=619.55, top=348.95
550: 'ﻊﻴﺒﻠﻟ' at x=737.72, top=350.63
551: 'ﺎﻬ' at x=752.20, top=350.63
552: 'ﺑ' at x=757.75, top=350.63
553: 'ﻆﻔﺘﺤﻣ' at x=761.55, top=350.63
554: 'ت' at x=783.35, top=350.63
555: 'ادﻮﺟﻮﻣ' at x=790.25, top=350.63
556: '٢٬' at x=81.47, top=361.84
557: '٩' at x=87.34, top=370.84
558: '٣' at x=87.35, top=361.84
559: '٠' at x=90.99, top=370.84
560: '٠' at x=91.01, top=361.84
561: '٣' at x=94.65, top=370.84
562: '١' at x=94.66, top=361.84
563: '٬' at x=98.31, top=370.84
564: '٬' at x=98.32, top=361.84
565: '٣' at x=100.53, top=370.84
566: '٥٣' at x=100.53, top=361.84
567: '٦' at x=104.19, top=370.84
568: '٤' at x=107.84, top=361.84
569: '٢' at x=107.84, top=370.84
